date,daodong
6-3-2025,0.425
7-3-2025,0.675
10-3-2025,0.525
11-3-2025,0.625
12-3-2025,0.7
13-3-2025,0.475
14-3-2025,0.5
17-3-2025,0.4
18-3-2025,0.35
19-3-2025,0.45
20-3-2025,0.475
21-3-2025,0.275
24-3-2025,0.55
25-3-2025,0.5
26-3-2025,0.475
27-3-2025,0.3
